Row_num,randread-512k,randread-512k,randread-512k,randread-512k,randread-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,read-512k,read-512k,read-512k,read-512k,read-512k,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq
,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat
,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write
35,2235.5,0.02,4471.0,0.22,0.21,390.39,1.05,780.0,1.28,0.23,2342.0,0.02,4684.0,0.21,0.2,449.45,0.91,898.0,1.11,0.2
36,2258.76,0.02,4517.0,0.22,0.2,401.0,1.02,802.0,1.24,0.23,2303.3,0.02,4606.0,0.21,0.2,441.44,0.91,882.0,1.13,0.22
37,2329.0,0.02,4658.0,0.21,0.2,402.4,0.99,804.0,1.24,0.25,2151.5,0.01,4303.0,0.23,0.22,433.43,0.93,866.0,1.15,0.22
38,2260.0,0.02,4520.0,0.22,0.2,405.0,0.99,810.0,1.23,0.24,2407.5,0.02,4815.0,0.21,0.19,436.0,0.93,872.0,1.14,0.22
39,2244.0,0.02,4488.0,0.22,0.2,405.5,1.0,811.0,1.23,0.24,2366.5,0.02,4733.0,0.21,0.19,437.44,0.93,874.0,1.14,0.21
40,2192.5,0.01,4385.0,0.23,0.21,402.3,1.0,804.0,1.24,0.24,2349.85,0.01,4699.0,0.21,0.2,444.44,0.91,888.0,1.13,0.22
41,2355.5,0.01,4711.0,0.21,0.2,533.0,0.69,1066.0,0.94,0.25,2360.0,0.01,4720.0,0.21,0.19,442.0,0.91,884.0,1.13,0.22
42,2283.28,0.02,4566.0,0.22,0.2,572.07,0.61,1144.0,0.87,0.26,2360.0,0.02,4720.0,0.21,0.19,430.0,0.95,860.0,1.16,0.21
43,2260.0,0.02,4520.0,0.22,0.2,519.0,0.71,1038.0,0.96,0.25,2394.5,0.01,4789.0,0.21,0.19,432.0,0.95,864.0,1.15,0.2
44,2247.0,0.02,4494.0,0.22,0.2,518.0,0.71,1036.0,0.96,0.25,2366.87,0.02,4733.0,0.21,0.19,433.0,0.94,866.0,1.15,0.21
