Row_num,randread-512k,randread-512k,randread-512k,randread-512k,randread-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,read-512k,read-512k,read-512k,read-512k,read-512k,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq
,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat
,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write
141,2321.5,0.02,4643.0,0.21,0.2,438.5,0.92,877.0,1.13,0.22,2283.0,0.02,4566.0,0.22,0.2,436.44,0.94,872.0,1.14,0.2
142,2279.0,0.02,4558.0,0.22,0.2,443.44,0.91,886.0,1.13,0.21,2371.0,0.02,4742.0,0.21,0.19,427.43,0.97,854.0,1.17,0.19
143,2269.0,0.01,4538.0,0.22,0.2,432.0,0.93,864.0,1.15,0.22,2373.0,0.02,4746.0,0.21,0.19,431.5,0.97,863.0,1.16,0.19
144,2179.68,0.01,4359.0,0.23,0.21,407.5,1.01,815.0,1.23,0.22,2385.5,0.02,4771.0,0.21,0.19,436.5,0.93,873.0,1.14,0.22
145,2351.5,0.02,4703.0,0.21,0.19,411.5,1.0,823.0,1.21,0.21,2296.5,0.02,4593.0,0.22,0.2,434.0,0.95,868.0,1.15,0.2
146,2308.5,0.01,4617.0,0.21,0.2,419.42,0.98,838.0,1.18,0.21,2375.38,0.02,4750.0,0.21,0.19,428.43,0.97,856.0,1.17,0.2
147,2295.29,0.01,4590.0,0.21,0.2,400.5,1.04,801.0,1.25,0.21,2382.0,0.02,4764.0,0.21,0.19,414.0,1.01,828.0,1.2,0.2
148,2304.5,0.01,4609.0,0.21,0.2,404.4,1.03,808.0,1.24,0.21,2360.5,0.01,4721.0,0.21,0.19,419.42,0.98,838.0,1.19,0.22
149,2281.5,0.02,4563.0,0.22,0.2,397.9,1.02,795.0,1.25,0.23,2293.5,0.02,4587.0,0.22,0.2,431.43,0.95,862.0,1.15,0.21
150,2351.0,0.01,4702.0,0.21,0.2,403.0,1.01,806.0,1.24,0.23,2317.82,0.02,4635.0,0.21,0.2,440.0,0.93,880.0,1.13,0.2
151,2299.3,0.02,4598.0,0.21,0.2,386.89,1.06,773.0,1.28,0.23,2330.5,0.02,4661.0,0.21,0.19,438.0,0.94,876.0,1.14,0.2
152,2252.5,0.02,4504.0,0.22,0.2,410.5,0.99,821.0,1.22,0.23,2355.0,0.01,4710.0,0.21,0.2,436.44,0.94,872.0,1.14,0.2
153,2213.0,0.01,4426.0,0.22,0.21,405.0,1.0,810.0,1.23,0.23,2334.0,0.02,4668.0,0.21,0.2,431.43,0.96,862.0,1.16,0.2
154,2319.32,0.02,4638.0,0.21,0.2,397.5,1.01,795.0,1.25,0.25,2286.29,0.01,4572.0,0.22,0.2,437.0,0.92,874.0,1.14,0.22
155,2318.5,0.02,4637.0,0.21,0.2,402.9,1.0,805.0,1.24,0.24,2381.0,0.01,4762.0,0.21,0.19,430.0,0.96,860.0,1.16,0.2
156,2268.27,0.01,4536.0,0.22,0.2,408.91,0.98,817.0,1.22,0.25,2358.0,0.02,4716.0,0.21,0.19,432.43,0.96,864.0,1.16,0.2
157,2248.0,0.02,4496.0,0.22,0.2,539.5,0.69,1079.0,0.92,0.23,2356.5,0.01,4713.0,0.21,0.19,432.0,0.96,864.0,1.15,0.2
158,2286.0,0.01,4572.0,0.22,0.2,603.6,0.59,1207.0,0.83,0.24,2273.77,0.01,4547.0,0.22,0.2,429.0,0.96,858.0,1.16,0.2
159,2293.5,0.02,4587.0,0.21,0.2,598.1,0.58,1196.0,0.83,0.24,2314.0,0.02,4628.0,0.21,0.2,430.0,0.96,860.0,1.17,0.21
160,2100.1,0.02,4200.0,0.24,0.22,518.0,0.72,1036.0,0.96,0.24,2321.5,0.02,4643.0,0.21,0.19,434.43,0.95,868.0,1.14,0.2
161,2279.5,0.02,4559.0,0.22,0.2,495.0,0.77,990.0,1.01,0.24,2343.0,0.02,4686.0,0.21,0.2,428.43,0.97,856.0,1.16,0.19
162,2197.0,0.02,4394.0,0.22,0.21,476.0,0.8,952.0,1.04,0.24,2330.33,0.02,4660.0,0.21,0.2,435.0,0.94,870.0,1.15,0.21
163,2321.5,0.01,4643.0,0.21,0.2,442.94,0.88,885.0,1.13,0.24,2303.0,0.02,4606.0,0.21,0.2,432.0,0.92,864.0,1.15,0.23
164,2261.76,0.02,4523.0,0.22,0.2,424.92,0.94,849.0,1.18,0.23,2395.5,0.01,4791.0,0.21,0.19,432.0,0.94,864.0,1.15,0.22
165,2250.5,0.02,4501.0,0.22,0.2,439.0,0.9,878.0,1.13,0.23,2371.0,0.02,4742.0,0.21,0.19,428.43,0.96,856.0,1.17,0.21
166,2246.0,0.02,4492.0,0.22,0.2,423.92,0.96,847.0,1.18,0.22,2411.5,0.02,4823.0,0.2,0.19,428.0,0.94,856.0,1.16,0.22
167,2223.22,0.01,4446.0,0.22,0.21,369.0,1.28,738.0,1.5,0.23,2310.81,0.02,4621.0,0.21,0.2,428.43,0.95,856.0,1.17,0.22
168,2320.0,0.01,4640.0,0.21,0.2,362.36,0.99,724.0,1.22,0.23,2395.5,0.02,4791.0,0.21,0.19,437.44,0.93,874.0,1.14,0.21
169,2282.5,0.02,4565.0,0.22,0.2,406.41,1.02,812.0,1.23,0.21,2354.35,0.02,4708.0,0.21,0.19,429.0,0.94,858.0,1.16,0.22
170,2280.28,0.01,4560.0,0.22,0.2,421.0,0.97,842.0,1.18,0.21,2358.0,0.01,4716.0,0.21,0.19,423.0,0.96,846.0,1.18,0.22
171,2211.5,0.02,4423.0,0.22,0.21,421.0,0.97,842.0,1.19,0.22,2293.0,0.01,4586.0,0.22,0.2,420.0,0.97,840.0,1.19,0.21
172,2330.83,0.02,4661.0,0.21,0.2,412.91,0.99,825.0,1.21,0.22,2362.5,0.02,4725.0,0.21,0.19,428.5,0.95,857.0,1.17,0.21
173,2299.5,0.01,4599.0,0.21,0.2,397.4,1.04,794.0,1.25,0.21,2415.0,0.02,4830.0,0.2,0.19,424.92,0.96,849.0,1.18,0.21
174,2240.0,0.02,4480.0,0.22,0.2,409.5,1.01,819.0,1.22,0.21,2402.0,0.02,4804.0,0.21,0.19,430.0,0.93,860.0,1.16,0.23
175,2256.5,0.02,4513.0,0.22,0.2,387.0,1.05,774.0,1.29,0.24,2363.5,0.02,4727.0,0.21,0.19,440.0,0.94,880.0,1.13,0.2
176,2222.72,0.02,4445.0,0.22,0.21,395.9,1.02,791.0,1.26,0.24,2318.0,0.02,4636.0,0.21,0.2,441.0,0.93,882.0,1.13,0.2
177,2325.0,0.02,4650.0,0.21,0.2,404.0,0.98,808.0,1.24,0.25,2363.36,0.02,4726.0,0.21,0.19,442.44,0.93,884.0,1.13,0.2
178,2242.74,0.02,4485.0,0.22,0.2,405.91,0.99,811.0,1.23,0.24,2357.5,0.02,4715.0,0.21,0.19,443.0,0.93,886.0,1.13,0.2
179,2279.5,0.02,4559.0,0.22,0.2,405.5,0.99,811.0,1.23,0.24,2357.5,0.01,4715.0,0.21,0.19,422.0,0.98,844.0,1.18,0.2
180,0.0,0.02,0.0,0.23,0.21,0.0,0.73,0.0,0.97,0.24,0.0,0.02,0.0,0.22,0.2,0.0,0.96,0.0,1.17,0.21
